City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salinas,US,72.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
4,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
5,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
18,Cockburn Town,TC,78.82,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
19,Victoria,HK,75.96,clear sky,22.2855,114.1577,Mini Hotel Central
23,Charlestown,AU,78.03,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
24,Les Cayes,HT,76.69,scattered clouds,18.2,-73.75,Villa Orphee
29,Pedernales,DO,79.81,broken clouds,18.0384,-71.744,Hotel Costa Marina
30,Torres,BR,72.82,overcast clouds,-29.3353,-49.7269,Farol Hotel
32,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
40,Pontes E Lacerda,BR,75.51,broken clouds,-15.2261,-59.3353,Hotel Bressan
45,Anantapur,IN,79.57,overcast clouds,14.6833,77.6,Hotel Gpr grand
46,Patrocinio,BR,71.46,overcast clouds,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
48,Caravelas,BR,77.85,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
50,Marsh Harbour,BS,68.95,clear sky,26.5412,-77.0636,Abaco Beach Resort
56,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
58,Inhambane,MZ,75.97,light rain,-23.865,35.3833,Oceano
60,Buta,CD,68.47,light rain,2.7858,24.73,HOTEL BISO NA BISO
63,Cidreira,BR,71.96,overcast clouds,-30.1811,-50.2056,Hotel Castelo
64,Arraial Do Cabo,BR,75.81,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
65,Acarau,BR,77.14,broken clouds,-2.8856,-40.12,castelo pizzaria
67,Port Elizabeth,ZA,66.09,few clouds,-33.918,25.5701,39 On Nile Guest House
68,Chuy,UY,68.2,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
71,Savannah Bight,HN,79.27,broken clouds,16.45,-85.85,Villa on Dunbar Rock
74,Formosa,AR,75.18,moderate rain,-26.1775,-58.1781,Asterión Hotel
75,Kaabong,UG,68.04,scattered clouds,3.4836,34.1492,Rock Motel Ltd
76,Asosa,ET,73.45,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
81,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Saint George,US,69.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
85,Rodrigues Alves,BR,77.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
87,Sikeston,US,75.24,clear sky,36.8767,-89.5879,Drury Inn & Suites Sikeston
88,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
91,Alto Araguaia,BR,75.15,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
100,Qeshm,IR,73.27,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
103,Shirgaon,IN,79.68,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
104,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
107,Mar Del Plata,AR,69.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
112,Bandarbeyla,SO,78.78,clear sky,9.4942,50.8122,JABIR HOTEL
113,Riachao Das Neves,BR,75.6,clear sky,-11.7461,-44.91,Casa Costa
116,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
119,Saldanha,ZA,66.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
120,Caucaia,BR,78.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
124,Beberibe,BR,76.84,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
129,Didwana,IN,79.02,few clouds,27.4,74.5667,Marudhar Hotel Didwana
130,Bonthe,SL,78.98,broken clouds,7.5264,-12.505,Bonthe Holiday Village
131,Itarema,BR,76.12,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
135,Humaita,BR,74.1,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
140,Buraydah,SA,75.65,scattered clouds,26.326,43.975,Mövenpick Qassim
141,Mutis,CO,79.0,light rain,6.2262,-77.4044,Paraiso Escondido
142,Nsanje,MW,71.29,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
147,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
151,Ouesso,CG,71.8,overcast clouds,1.6136,16.0517,ABENIE Hotel
155,Mwingi,KE,65.25,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
162,San Pedro De Macoris,DO,79.41,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
163,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
166,Matay,EG,68.49,broken clouds,28.419,30.7792,Nag Aespen
167,Puerto Narino,CO,73.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
169,Kankon,IN,78.6,scattered clouds,15.0167,74.0167,Palolem Beach Resort
171,Omboue,GA,77.32,few clouds,-1.5746,9.2618,Hotel Olako
172,Wajir,KE,79.88,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
