City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salinas,US,2022-04-11 00:24:45,36.6777,-121.6555,72.01,53,0,18.41,clear sky
1,Hermanus,ZA,2022-04-11 00:24:45,-34.4187,19.2345,62.8,90,5,11.5,clear sky
2,Hithadhoo,MV,2022-04-11 00:23:36,-0.6,73.0833,83.53,67,17,13.27,few clouds
3,Bredasdorp,ZA,2022-04-11 00:24:45,-34.5322,20.0403,61.97,94,13,5.88,few clouds
4,Port Alfred,ZA,2022-04-11 00:24:46,-33.5906,26.891,65.17,87,100,5.01,overcast clouds
5,Souillac,MU,2022-04-11 00:24:46,-20.5167,57.5167,77.38,78,40,14.97,light rain
6,Smithfield,US,2022-04-11 00:24:46,41.922,-71.5495,47.46,54,100,8.05,overcast clouds
7,Tiznit,MA,2022-04-11 00:24:47,29.5833,-9.5,64.2,63,39,1.99,scattered clouds
8,Punta Arenas,CL,2022-04-11 00:24:16,-53.15,-70.9167,44.71,81,75,4.61,broken clouds
9,Husavik,IS,2022-04-11 00:24:47,66.0449,-17.3389,30.67,84,100,0.65,overcast clouds
10,Svetla Nad Sazavou,CZ,2022-04-11 00:24:47,49.668,15.4039,35.19,90,70,7.07,broken clouds
11,Margate,GB,2022-04-11 00:24:48,51.3813,1.3862,46.69,80,100,3.0,overcast clouds
12,Guanica,PR,2022-04-11 00:24:48,17.9716,-66.908,80.13,80,82,3.06,broken clouds
13,Aleksandrov Gay,RU,2022-04-11 00:24:48,50.147,48.5704,48.78,86,13,4.9,few clouds
14,Dikson,RU,2022-04-11 00:24:39,73.5069,80.5464,-8.23,100,100,4.5,overcast clouds
15,Saint-Philippe,RE,2022-04-11 00:24:49,-21.3585,55.7679,76.59,82,54,14.29,light rain
16,Bambous Virieux,MU,2022-04-11 00:21:40,-20.3428,57.7575,77.25,78,40,14.97,light rain
17,Ust-Tsilma,RU,2022-04-11 00:24:49,65.441,52.1498,37.36,97,100,8.63,overcast clouds
18,Cockburn Town,TC,2022-04-11 00:24:49,21.4612,-71.1419,78.82,77,65,16.22,broken clouds
19,Victoria,HK,2022-04-11 00:19:59,22.2855,114.1577,75.96,81,6,3.0,clear sky
20,Clyde River,CA,2022-04-11 00:24:50,70.4692,-68.5914,-1.97,84,75,3.44,broken clouds
21,Ushuaia,AR,2022-04-11 00:21:07,-54.8,-68.3,42.46,70,75,3.44,broken clouds
22,Qaanaaq,GL,2022-04-11 00:24:50,77.484,-69.3632,-6.84,75,33,6.71,scattered clouds
23,Charlestown,AU,2022-04-11 00:24:51,-32.95,151.6667,78.03,73,5,1.99,clear sky
24,Les Cayes,HT,2022-04-11 00:24:51,18.2,-73.75,76.69,81,49,3.96,scattered clouds
25,Abu Samrah,SY,2022-04-11 00:24:51,35.3029,37.1841,59.27,59,48,3.22,scattered clouds
