City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Energetik,RU,2022-04-10 17:56:38,51.7445,58.7934,44.53,81,99,10.96
1,Vaini,TO,2022-04-10 17:56:38,-21.2,-175.2,77.16,88,20,8.05
2,Kirakira,SB,2022-04-10 17:56:38,-10.4544,161.9205,79.43,84,89,4.52
3,Marsh Harbour,BS,2022-04-10 17:56:39,26.5412,-77.0636,69.93,55,4,14.09
4,Ushuaia,AR,2022-04-10 17:56:39,-54.8,-68.3,46.06,57,75,2.3
5,Banepa,NP,2022-04-10 17:56:39,27.6298,85.5214,64.72,94,75,2.3
6,Saint-Francois,FR,2022-04-10 17:56:40,46.4154,3.9054,53.42,45,0,12.66
7,Mataura,NZ,2022-04-10 17:56:40,-46.1927,168.8643,39.87,98,18,3.31
8,Mahebourg,MU,2022-04-10 17:56:40,-20.4081,57.7,77.29,83,75,10.36
9,Kapaa,US,2022-04-10 17:56:40,22.0752,-159.319,75.18,88,83,7.0
10,Washougal,US,2022-04-10 17:56:41,45.5826,-122.3534,46.76,78,100,5.99
11,Albany,US,2022-04-10 17:56:41,42.6001,-73.9662,45.95,58,93,1.99
12,Kodiak,US,2022-04-10 17:56:41,57.79,-152.4072,34.97,42,0,7.54
13,Rikitea,PF,2022-04-10 17:56:42,-23.1203,-134.9692,78.85,74,3,17.81
14,Zilair,RU,2022-04-10 17:56:42,52.2332,57.4392,41.09,89,100,9.28
15,Hithadhoo,MV,2022-04-10 17:56:42,-0.6,73.0833,83.93,71,33,9.42
16,Coahuayana,MX,2022-04-10 17:56:43,18.7333,-103.6833,91.45,37,53,6.91
17,Jamestown,US,2022-04-10 17:56:43,42.097,-79.2353,38.52,48,100,3.0
18,Qaanaaq,GL,2022-04-10 17:56:43,77.484,-69.3632,-0.31,82,50,5.23
19,Yellowknife,CA,2022-04-10 17:52:31,62.456,-114.3525,12.72,74,40,19.57
20,Busselton,AU,2022-04-10 17:56:44,-33.65,115.3333,53.55,83,60,5.17
21,Selfoss,IS,2022-04-10 17:56:44,63.9331,-20.9971,40.05,62,100,7.76
22,Puerto Ayora,EC,2022-04-10 17:56:44,-0.7393,-90.3518,84.16,89,97,7.0
23,Tahoua,NE,2022-04-10 17:51:47,14.8888,5.2692,105.78,14,0,3.44
24,Zyryanka,RU,2022-04-10 17:56:45,65.75,150.85,-5.17,99,100,2.44
25,Singleton,AU,2022-04-10 17:56:45,-32.5667,151.1833,58.98,97,5,2.98
26,Port Alfred,ZA,2022-04-10 17:56:45,-33.5906,26.891,63.18,94,100,5.01
27,Bredasdorp,ZA,2022-04-10 17:56:46,-34.5322,20.0403,65.3,87,0,15.99
28,Hobart,AU,2022-04-10 17:56:46,-42.8794,147.3294,54.05,63,100,6.91
29,Moree,AU,2022-04-10 17:56:46,-29.4667,149.85,62.62,88,0,9.22
30,Butaritari,KI,2022-04-10 17:56:47,3.0707,172.7902,80.55,75,99,7.56
31,Plettenberg Bay,ZA,2022-04-10 17:56:47,-34.0527,23.3716,65.86,88,43,11.48
32,Provideniya,RU,2022-04-10 17:56:47,64.3833,-173.3,22.06,99,97,5.73
33,Elat,IL,2022-04-10 17:56:48,29.5581,34.9482,84.04,34,0,12.66
34,Punta Arenas,CL,2022-04-10 17:53:14,-53.15,-70.9167,50.11,50,0,11.5
35,Bud,US,2022-04-10 17:56:48,39.447,-86.1758,60.91,43,43,13.09
36,Angoche,MZ,2022-04-10 17:56:48,-16.2325,39.9086,77.54,86,37,7.38
37,Chokurdakh,RU,2022-04-10 17:56:49,70.6333,147.9167,-22.05,100,100,1.36
38,Ancud,CL,2022-04-10 17:56:49,-41.8697,-73.8203,55.22,71,94,4.65
39,Ponta Do Sol,PT,2022-04-10 17:56:49,32.6667,-17.1,69.01,68,46,12.44
